Index,GearType,Method,Mesh,Closures,Groundfish,Dates,Shapefiles
158,2 Trap/Pot,2.1 Lobster+Jonah Crab,SNE: Mobile Gear and Lobster Trap/Pot Restricted Gear Areas (RGAs) III,,,1:120,RGAIII
159,2 Trap/Pot,2.1 Lobster+Jonah Crab,SE: Oculina Bank HAPC,,,1:365,OculinaBank_po
160,2 Trap/Pot,2.2 Sea Bass,GOM: Massachusetts Restricted Area (pre 2021),,,32:120,Massachusetts_Restricted_Area
161,2 Trap/Pot,2.2 Sea Bass,GOM/GB: Great South Channel Restricted Trap/Pot Area,,,91:181,Great_South_Channel_Restricted_Trap-Pot_Area
162,2 Trap/Pot,2.2 Sea Bass,SNE: Georges Bank Deep-Sea Coral Protection Area,,,1:365,Georges_Bank_CoralProtectionArea
163,2 Trap/Pot,2.2 Sea Bass,MAB: Frank R. Lautenberg Deep-Sea Coral Protection Area,,,1:365,Frank_R_Lautenberg_Deep_Sea_Coral_Protection_Areas
164,2 Trap/Pot,2.2 Sea Bass,SE: Black Sea Bass Pot Prohibited Area,,,1:365,sea_bass_pot_prohib
165,2 Trap/Pot,2.2 Sea Bass,SE: Snapper grouper FMP Seasonal Black Sea Bass Pot Nov/Apr Prohibition,,,"305:334,
91:120",BSB_Pot_Nov_Apr_po
166,2 Trap/Pot,2.2 Sea Bass,SE: Snapper grouper FMP Seasonal Black Sea Bass Pot Dec-Mar Prohibition,,,335:90,BSB_Pot_Dec_Mar_po
167,2 Trap/Pot,2.2 Sea Bass,SE: Oculina Bank HAPC,,,1:365,OculinaBank_po
168,2 Trap/Pot,2.3 Other,GOM: Massachusetts Restricted Area (pre 2021),,,32:120,Massachusetts_Restricted_Area
169,2 Trap/Pot,2.3 Other,GOM/GB: Great South Channel Restricted Trap/Pot Area,,,91:181,Great_South_Channel_Restricted_Trap-Pot_Area
170,2 Trap/Pot,2.3 Other,SNE: Georges Bank Deep-Sea Coral Protection Area,,,1:365,Georges_Bank_CoralProtectionArea
171,2 Trap/Pot,2.3 Other,MAB: Frank R. Lautenberg Deep-Sea Coral Protection Area,,,1:365,Frank_R_Lautenberg_Deep_Sea_Coral_Protection_Areas
172,2 Trap/Pot,2.3 Other,SE: Oculina Bank HAPC,,,1:365,OculinaBank_po
